x,y
-2.403435576,-1.226887942
-2.075422207,-1.507964678
-1.965290441,-1.632139449
-1.958426474,-1.469836454
-2.114682297,-1.225164091
-2.211581757,-0.954613672
-2.416685544,-0.71217497
-2.521913485,-0.582985727
-2.522037559,-0.525672751
-2.568838371,-0.57685554
-2.680908311,-0.607102943
-2.724525019,-0.711954104
-2.810381563,-0.866975242
-2.92728044,-1.02952514
-2.863208328,-1.168995175
-2.672767361,-1.23918651
-2.435346578,-1.197617478
-2.31844948,-1.089185496
-2.261040509,-0.957841882
-2.230608385,-0.841899882
-2.202236438,-0.798759094
-2.267235611,-0.721881907
-2.35399733,-0.652885894
-2.527867424,-0.595951899
-2.602323126,-0.767726048
-2.679697682,-1.124700213
-2.852785292,-1.10101148
-2.772032151,-0.907343794
-2.600967783,-0.699643568
-2.419858218,-0.694774578
-2.399491085,-0.869246873
-2.352696031,-0.828078264
-2.310677698,-0.816943057
-2.466304035,-0.667350959
-2.622088076,-0.555627169
-2.760462263,-0.429224758
-2.689944292,-0.410845672
-2.659289531,-0.382196525
-2.534209824,-0.362999735
-2.488023518,-0.243456191
-2.497830237,-0.173971397
-2.55189981,-0.230729622
-2.542663913,-0.30266853
-2.570158127,-0.374812884
-2.509138073,-0.314458248
-2.366243035,-0.280012177
-2.222312428,-0.237470682
-2.215612168,-0.128510206
-2.347469408,-0.090004802
-2.398600127,-0.122662325
-2.485732038,-0.214774382
-2.436113021,-0.289903992
-2.287102777,-0.358087507
-2.221210286,-0.369271339
-2.254062708,-0.266587216
-2.246837557,-0.22918102
-2.171551562,-0.246772931
-2.149208915,-0.26888158
-2.20018116,-0.365510306
-2.194993745,-0.561174016
-2.254065222,-0.684072731
-2.333060371,-0.653854432
-2.479703538,-0.403100591
-2.46194241,-0.323142564
-2.268991994,-0.396373208
-2.121455001,-0.461550748
-2.152208547,-0.528391234
-2.319224759,-0.499550785
-2.452195049,-0.625901102
-2.476110298,-0.535766931
-2.39295471,-0.494883329
-2.287457418,-0.293695789
-2.193141674,-0.464329224
-2.223426266,-0.321106577
-2.167005704,-0.480390203
-2.141349822,-0.416098686
-2.204200948,-0.586882035
-2.166801141,-0.55726707
-2.010795673,-0.647338915
-1.827977479,-0.79244494
-1.68177204,-0.988886064
-1.593991165,-1.072345329
-1.587573075,-1.079154107
-1.614058233,-1.24830289
-1.431023011,-1.492862837
-0.924700364,-2.272581344
-0.544758058,-2.821761311
-0.408032254,-3.107068437
-0.280652334,-3.121556081
-0.1785363,-3.087510642
-0.161806018,-3.059452748
-0.23455695,-3.096234003
-0.362039668,-3.010103143
-0.409508408,-3.028964434
-0.405615357,-3.031780591
-0.329349167,-3.075095224
-0.334498804,-3.091743295
-0.330345022,-3.133501116
-0.356528121,-3.202811249
-0.451073569,-3.156646622
-0.621234688,-2.967430518
-0.652085376,-2.844290472
-0.635869971,-2.668468624
-0.575021544,-2.568352608
-0.582062574,-2.480319897
-0.596691222,-2.525095086
-0.552007058,-2.638279705
-0.493636694,-2.831488392
-0.278874988,-3.222678488
-0.192091562,-3.445329033
-0.20011645,-3.502607624
-0.321187869,-3.434635399
-0.331781762,-3.466860869
-0.212295127,-3.668632694
-0.099574839,-3.80294853
-0.119937924,-3.937634383
-0.115450341,-3.956672756
-0.09522644,-3.92320281
-0.059963861,-3.898756865
-0.060410625,-3.921647768
-0.159235451,-3.914770149
-0.314364368,-3.765823614
-0.500645834,-3.609498629
-0.683589962,-3.551079279
-0.690812272,-3.549043148
-0.570708252,-3.600063786
-0.411183565,-3.686835995
-0.449587078,-3.737967984
-0.554548759,-3.737538908
-0.593686656,-3.619081027
-0.506663715,-3.595291434
-0.49819343,-3.565440293
-0.602242337,-3.693099594
-0.77126628,-3.72544451
-0.915212019,-3.658441169
-0.881485445,-3.588919653
-0.827255892,-3.58444494
-0.751893077,-3.657876865
-0.873731555,-3.514707737
-0.958702307,-3.408215449
-1.02020311,-3.444201336
-0.903485234,-3.609522721
-0.781766888,-3.627096385
-0.776074704,-3.513509325
-1.00484759,-3.395722472
-1.234912612,-3.296767686
-1.267305451,-3.29781377
-1.1332587,-3.404234757
-0.995854955,-3.508762169
-1.011750857,-3.529582938
-0.99287163,-3.480026781
-0.919252863,-3.489647806
-0.870928822,-3.445522511
-0.897672883,-3.362294153
-0.963496151,-3.281555361
-0.964334162,-3.362719671
-0.881471345,-3.458445742
-0.775604678,-3.538444471
-0.666917105,-3.53779452
-0.696859447,-3.511425333
-0.81020103,-3.432183851
-0.963107354,-3.29246579
-1.110973307,-3.232509018
-1.28493495,-3.232408878
-1.391964988,-3.261774205
-1.528610712,-3.184476363
-1.592309026,-3.082817361
-1.677890687,-3.039193542
-1.692906015,-3.071828036
-1.638734714,-3.123732511
-1.563567078,-3.112334134
-1.581414551,-3.051508933
-1.680499494,-3.023270489
-1.868148135,-3.050902894
-1.870353456,-3.059215478
-1.861773941,-3.102261275
-1.797352464,-3.144234096
-1.756774784,-3.173061628
-1.730583542,-3.154975558
-1.670920033,-3.190217538
-1.521068772,-3.297283671
-1.383507612,-3.308181011
-1.420594991,-3.064246254
-1.580229035,-2.850908951
-1.667858811,-2.802999076
-1.614079091,-2.889795205
-1.488576036,-2.920144365
-1.443090441,-2.795939111
-1.447304586,-2.762445647
-1.501573647,-2.845142234
-1.530906148,-2.977917796
-1.645387363,-2.952449562
-1.723521849,-2.801724807
-1.690067069,-2.668868407
-1.659291301,-2.651182186
-1.771159046,-2.597820046
-1.902127542,-2.49499167
-1.868498875,-2.41555169
-1.718153097,-2.465300993
-1.674160049,-2.545425106
-1.793183375,-2.592811218
-1.925957832,-2.614138485
-2.063381903,-2.510710754
-2.15193275,-2.243697284
-2.150194542,-2.01669736
-2.152760896,-1.868462695
-2.158499823,-1.713615018
-2.161004281,-1.501724469
-2.108267789,-1.370547196
-2.019064417,-1.34457961
-1.90154504,-1.27734643
-1.666581967,-1.138319569
-1.362009864,-1.099951515
-1.108781282,-1.265573771
-1.02645706,-1.525598036
-1.120839402,-1.694961644
-1.28217293,-1.740616964
-1.425463597,-1.80671358
-1.513492229,-1.84966836
-1.576681687,-1.782317702
-1.630153791,-1.601806381
-1.681663367,-1.421738179
-1.722077718,-1.28966429
-1.75564009,-1.243378781
-1.859258372,-1.178719759
-2.006931748,-1.060375903
-2.004772601,-1.039753662
-1.810566444,-1.162883011
-1.7020243,-1.31702963
-1.811228835,-1.326170532
-1.965666067,-1.228366336
-1.97527433,-1.150986605
-1.855861394,-1.137877159
-1.783710089,-1.120914057
-1.799252606,-1.079763787
-1.917267698,-0.975340152
-2.06591852,-0.849137921
-2.140482153,-0.751289981
-2.115903751,-0.70071311
-2.079315334,-0.676425166
-2.155664089,-0.667599394
-2.239841643,-0.725153525
-2.205002252,-0.883697049
-2.082736697,-1.111980105
-1.990844608,-1.277323228
-1.984830949,-1.316217174
-1.973335158,-1.256058036
-1.878071093,-1.200956859
-1.786063128,-1.178716195
-1.755004423,-1.237384703
-1.853880296,-1.239131131
-1.983295272,-1.225589678
-1.971592381,-1.189665208
-1.869564747,-1.219362022
-1.826459907,-1.265830364
-1.947255436,-1.146848807
-2.091162293,-0.914355684
-2.11100728,-0.683667935
-2.088515691,-0.542871543
-2.098273154,-0.494883545
-2.082069172,-0.557504947
-2.0693454,-0.634938722
-2.090862883,-0.674249581
-2.120746018,-0.664931274
-2.114288445,-0.722221251
-2.032211679,-0.837723675
-2.021142541,-0.890479078
-2.055720817,-0.835004796
-2.076794557,-0.82031392
-2.062780298,-0.820660502
-2.057906811,-0.873668681
-2.043110373,-0.922877566
-1.970583596,-0.944164285
-1.833250553,-0.919374853
-1.739890673,-0.767207547
-1.78310967,-0.623455925
-1.944873191,-0.56600049
-2.171335261,-0.575962622
-2.416194968,-0.568156709
-2.558906011,-0.502466622
-2.571929142,-0.465520717
-2.470576301,-0.428436028
-2.36694232,-0.404414195
-2.327828439,-0.400069811
-2.397638439,-0.490946858
-2.471850053,-0.570633732
-2.509839236,-0.563098777
-2.470755057,-0.534607789
-2.412346418,-0.420585238
-2.324234605,-0.4775736
-2.30047552,-0.430916701
-2.340630233,-0.474877165
-2.474496725,-0.482650772
-2.581753145,-0.574774391
-2.655887169,-0.660799565
-2.636797665,-0.633441959
-2.576665509,-0.691734971
-2.523119406,-0.771032141
-2.549717446,-0.826963138
-2.661822735,-0.819858331
-2.634842738,-0.876338726
-2.47557378,-0.945484341
-2.353771288,-0.919195514
-2.388635839,-0.81500038
-2.560421061,-0.781084348
-2.67744796,-0.710196708
-2.735316951,-0.641416972
-2.671258364,-0.658789548
-2.532686568,-0.760633539
-2.46397813,-0.832907347
-2.511981314,-0.775700098
-2.541033147,-0.73837239
-2.49561585,-0.614807671
-2.416142012,-0.534376242
-2.422982996,-0.53974076
-2.395845382,-0.62236334
-2.37348046,-0.706272887
-2.428789357,-0.709102432
-2.511596521,-0.708817892
-2.487099624,-0.660301347
-2.421010031,-0.582052178
-2.515941313,-0.498418769
-2.774373906,-0.42011282
-2.853144659,-0.524529234
-2.808083782,-0.563171679
-2.681562953,-0.599847531
-2.700722769,-0.534044039
-2.634867122,-0.617571278
-2.515561969,-0.683171479
-2.396300466,-0.617993101
-2.381134835,-0.482262151
-2.445284567,-0.502043708
-2.562341992,-0.640739031
-2.701099467,-0.697617948
-2.769024332,-0.749709444
-2.623519811,-0.817857068
-2.429146394,-0.861148903
-2.300297281,-0.668010724
-2.320115195,-0.418260809
-2.320544746,-0.352771892
-2.332131116,-0.436177957
-2.319811423,-0.408943022
-2.335426604,-0.357321616
-2.338391046,-0.220991939
-2.338247387,-0.254127161
-2.319127062,-0.324833691
-2.329061499,-0.528242314
-2.355632947,-0.761517714
-2.356974494,-0.906158821
-2.344408244,-1.033779896
-2.27415861,-1.162361354
-2.081495902,-1.337591275
-1.841452954,-1.376736872
-1.575056275,-1.332247472
-1.460349742,-1.290979361
-1.399288832,-1.332510159
-1.521699876,-1.258031581
-1.580978667,-1.17907808
-1.606198385,-1.19415011
-1.571221595,-1.1732923
-1.290628192,-1.293845663
-0.997182667,-1.352012679
-0.679275913,-1.79457526
-0.32969688,-2.143259306
-0.213506075,-2.344519086
-0.723775249,-1.986509086
-1.068319879,-1.916161579
-0.932027554,-2.214208368
-0.526103403,-3.071871906
-0.096763245,-3.634688418
-0.074224228,-3.615239728
-0.341503054,-3.547964828
-0.306008812,-3.629009414
-0.161807037,-3.829992386
0.001588945,-3.8560608
-0.181491806,-3.650136476
-0.492650283,-3.273787762
-0.852947989,-2.791842223
-1.020305153,-2.317776315
-1.218486219,-1.724363164
-1.314180484,-1.43792955
-1.453011224,-1.205602063
-1.652327285,-1.105293535
-1.911245574,-0.874027907
-2.119943367,-0.777580359
-2.172808291,-0.681780622
-2.167187887,-0.791202847
-2.099377893,-0.865398735
-2.033713223,-0.793647464
-1.983940551,-0.63265676
-2.122482537,-0.438700834
-2.235095103,-0.419278824
-2.317335317,-0.433607026
-2.287697103,-0.529988509
-2.226437041,-0.73908021
-2.150571014,-0.837373391
-1.877238523,-0.973975907
-1.547583958,-1.217256831
-1.299129328,-1.395014894
-1.51722192,-1.224274583
-1.991275266,-0.787800849
-2.240146011,-0.761779357
-2.441475578,-0.773174471
-2.624881495,-0.716882805
-2.705205996,-0.622953894
-2.61204372,-0.495354235
-2.448370085,-0.541723876
-2.371702191,-0.638647302
-2.478304597,-0.696115972
-2.403107321,-0.886044237
-2.259788618,-1.01248254
-2.213659636,-0.988160897
-2.470411749,-0.673365677
-2.711826668,-0.528165869
-2.970195756,-0.344862336
-2.836725944,-0.581712652
-2.707211517,-0.515978174
-2.582443961,-0.522203407
-2.615282115,-0.278373935
-2.596255489,-0.338814612
-2.447599692,-0.399507657
-2.387775405,-0.430291393
-2.412816849,-0.391978781
-2.510340056,-0.381075765
-2.508572578,-0.383145732
-2.519642959,-0.424917711
-2.494890796,-0.432722731
-2.379509771,-0.59641711
-2.216421583,-0.557707424
-2.173631259,-0.536887556
-2.354018478,-0.282253947
-2.543201482,-0.152472622
-2.701629544,-0.05753149
-2.653052615,-0.138912186
-2.499936469,-0.272594513
-2.452973386,-0.267198954
-2.452779887,-0.187956563
-2.549563879,-0.089358316
-2.474945531,-0.278821178
-2.400116258,-0.410254224
-2.37076958,-0.457719292
-2.413611147,-0.334275161
-2.542356722,-0.266749002
-2.539026669,-0.392275283
-2.643903063,-0.465122701
-2.859245029,-0.520986649
-2.905656464,-0.525852316
-2.820805389,-0.480106931
-2.511046342,-0.429582975
-2.345174759,-0.224894331
-2.274547655,-0.006794298
-2.317994742,0.128635364
-2.329448258,0.181825552
-2.320604188,0.281339496
-2.293241151,0.450799971
-2.374027683,0.652181098
-2.499922906,0.577345646
-2.675865278,0.319672069
-2.941417359,0.11963667
-3.009282024,-0.056019738
-3.005963884,-0.137095132
-2.951487544,-0.333109823
-2.914760831,-0.476729247
-2.805497792,-0.500776881
-2.656717424,-0.413825154
-2.548789384,-0.180238278
-2.582632755,-0.005267881
-2.572733115,0.032841385
-2.655521702,-0.056046339
-2.713963277,-0.175353705
-2.745420323,-0.245548218
-2.726653712,-0.198090304
-2.728235946,-0.065067629
-2.854428952,-0.067374149
-2.866486342,-0.199105259
-2.740119924,-0.443356099
-2.529088327,-0.452745625
-2.421922566,-0.660813212
-2.404797816,-0.71611587
-2.449652152,-0.764312267
-2.459348086,-0.566652619
-2.520130162,-0.493310061
-2.57946478,-0.393017009
-2.570799295,-0.373553618
-2.462795115,-0.280457189
-2.412892387,-0.236424656
-2.366230293,-0.126581647
-2.274414061,-0.111417739
-2.141796911,-0.079176926
-2.170294469,-0.145284047
-2.34523664,-0.156987317
-2.497447323,-0.258533324
-2.603581789,-0.254461709
-2.603841345,-0.145903045
-2.497809495,-0.201691759
-2.332386717,-0.29196172
-2.206295379,-0.425253752
-2.210103187,-0.376392899
-2.169891087,-0.442688745
-2.200987724,-0.425038086
-2.295167056,-0.33577358
-2.354063124,-0.188419656
-2.318445542,-0.190503654
-2.237254676,-0.28098219
-2.25159169,-0.277076051
-2.360001971,-0.222604516
-2.41003157,-0.238229697
-2.3788743,-0.376504959
-2.248503202,-0.385401541
-2.166536443,-0.214636154
-2.117786822,-0.016405715
-2.160566445,0.004608111
-2.143810032,-0.164388232
-2.231179342,-0.192989921
-2.276053161,-0.209841876
-2.374852704,-0.179808653
-2.506799137,-0.226562104
-2.543276785,-0.319018587
-2.490723956,-0.408814154
-2.390111327,-0.471773981
-2.349151533,-0.470036164
-2.383634603,-0.485066365
-2.350084453,-0.481652201
-2.305620449,-0.450264643
-2.27241597,-0.290189692
-2.391870247,-0.205758917
-2.528876635,-0.148559102
-2.526366216,-0.267635364
-2.373839208,-0.453602269
-2.292961865,-0.575452407
-2.335847874,-0.54859316
-2.480625349,-0.485454879
-2.508877363,-0.504792548
-2.468910859,-0.529746534
-2.326950061,-0.450571678
-2.146316357,-0.281593432
-2.037168837,-0.30776053
-2.149496433,-0.424775891
-2.339513718,-0.549147194
-2.40552375,-0.570131215
-2.283878178,-0.394117962
-2.234983158,-0.332298506
-2.398342149,-0.245897228
-2.469625129,-0.357373544
-2.423053441,-0.350098028
-2.277133887,-0.365724845
-2.163345115,-0.392702076
-2.196536086,-0.441517927
-2.273284336,-0.424456204
-2.363335389,-0.425430648
-2.360514854,-0.360213022
-2.333841299,-0.319109226
-2.399427088,-0.265703188
-2.507956571,-0.274846499
-2.5902026,-0.267980002
-2.561129085,-0.262292179
-2.442246089,-0.287529685
-2.307314051,-0.369694381
-2.258657682,-0.408261848
-2.358051923,-0.377589679
-2.521396814,-0.369972946
-2.56505485,-0.370745833
-2.560633512,-0.38297422
-2.560501875,-0.473691197
-2.573913579,-0.522490609
-2.504696578,-0.537506007
-2.414633941,-0.372891772
-2.312815976,-0.299960422
-2.317409969,-0.309452128
-2.270218662,-0.308258514
-2.295110385,-0.284149229
-2.329282301,-0.280234693
-2.370838765,-0.228210232
-2.31592238,-0.106530013
-2.246262333,0.000476448
-2.27346939,-0.031806946
-2.36086809,-0.03767409
-2.495369746,0.020980836
-2.582312423,-0.016597005
-2.531838398,-0.111824613
-2.396765479,-0.231782391
-2.309523643,-0.247655
-2.318561355,-0.22094786
-2.237511002,-0.23360462
-2.1257771,-0.248984704
-2.169443374,-0.230811988
-2.2830865,-0.180701984
-2.34234776,-0.193925633
-2.366477193,-0.276850046
-2.430192913,-0.376600895
-2.487234448,-0.512770474
-2.457595229,-0.674264609
-2.297519925,-0.652437852
-2.244077424,-0.4478577
-2.254512601,-0.282392738
-2.238066102,-0.21479262
-2.144621913,-0.182946447
-2.061093819,-0.08801735
-1.994758733,-0.036727813
-1.997118786,-0.076716345
-2.007845489,-0.134750013
-2.107387041,-0.135699716
-2.197656576,-0.070585597
-2.260074479,0.016716522
-2.377413959,0.039201798
-2.466724236,0.023244421
-2.477788443,-0.020134361
-2.343687582,-0.031795964
-2.212549613,-0.016845858
-2.205700862,0.011874016
-2.238997564,0.082960317
-2.140795431,0.113049607
-1.948659955,0.1301973
-1.851713698,0.107321748
-1.927000437,0.034147365
-2.036806076,-0.030511355
-2.056564607,-0.086115943
-2.022151088,-0.051557619
-2.033798985,-0.050931806
-2.062335109,-0.095795738
-2.089122004,-0.139730384
-2.130002487,-0.158263517
-2.173947253,-0.164593631
-2.201173667,-0.287084342
-2.175438193,-0.381657225
-2.095231028,-0.405625858
-1.976112958,-0.261179603
-1.92461589,-0.07948326
-1.935070743,-0.056878739
-1.969980989,-0.120292898
-2.019445943,-0.132858393
-2.076675405,-0.028208183
-2.166302505,0.005792471
-2.212789105,-0.071260205
-2.171846043,-0.083585468
-2.105859149,-0.043099414
-2.049505952,0.016371439
-2.046872202,-0.032347172
-2.042968662,-0.077760038
-1.995984358,-0.104871161
-1.936263399,-0.118333069
-1.957883783,-0.15891608
-1.99664522,-0.155430669
-2.017298196,-0.143308211
-2.097153548,-0.125243833
-2.311809458,-0.160990816
-2.534615858,-0.192524502
-2.649807838,-0.206465692
-2.651674585,-0.234263526
-2.553168225,-0.180498686
-2.425340906,-0.105484361
-2.293092033,-0.084966592
-2.175097682,-0.174370903
-2.13996019,-0.176761757
-2.177445006,-0.07036618
-2.238060105,0.061857665
-2.248472884,0.106214093
-2.239343251,0.105671304
-2.316932192,0.104205569
-2.309732711,0.065876863
-2.206267917,-0.027820885
-2.149826457,0.002800607
-2.09720652,0.01777623
-2.155137728,0.002092184
-2.16028116,-0.040813467
-2.1838066,0.018033669
-2.200202494,0.161474611
-2.215014188,0.176857273
-2.242201378,0.162515178
-2.262296991,0.01325246
-2.282145111,-0.179442665
-2.302474321,-0.274644773
-2.296674405,-0.205361789
-2.312274672,-0.059929485
-2.444170567,-0.024151706
-2.583348107,0.006087342
-2.579485635,0.035710444
-2.400125478,-0.037742996
-2.26114882,-0.117481007
-2.349557473,-0.175900654
-2.447300867,-0.139185924
-2.395387808,-0.057566255
-2.191309213,-0.020402775
-2.060714547,-0.065707947
-2.04652752,-0.219210599
-1.993300655,-0.342558016
-1.862527245,-0.459010839
-1.849851012,-0.358319219
-1.907150763,-0.308533885
-1.964491442,-0.156333109
-1.946345185,-0.150233339
-2.007825386,-0.178646686
-2.078354487,-0.239766686
-2.093815641,-0.353524237
-2.103747738,-0.377083872
-2.228108037,-0.299183119
-2.349763409,-0.187481936
-2.359486578,-0.09363023
-2.264732167,-0.11421554
-2.107294724,-0.205535963
-2.012204165,-0.244470991
-1.982725367,-0.17052108
-1.972624002,-0.097975971
-2.009258357,-0.051481517
-1.967096585,-0.156203494
-1.903772419,-0.252016286
-1.859551052,-0.244453486
-1.920516282,-0.100494766
-2.048368827,-0.025083744
-2.107858652,-0.053649752
-2.085710756,-0.093194092
-2.078813946,0.026826316
-2.212855907,0.072540369
-2.407253994,0.012003469
-2.430565098,-0.153980763
-2.399119111,-0.147917506
-2.296302006,-0.067772106
-2.215760756,-0.013584861
-2.047275754,-0.045046691
-1.938300237,-0.126820338
-2.024170813,-0.070071983
-2.103025775,-0.13183655
-2.065060054,-0.188362227
-1.961181314,-0.260990641
-1.916119973,-0.292723048
-2.001657289,-0.2215545
-2.020789816,-0.19277551
-1.992818434,-0.116120401
-1.883394257,-0.150501955
-1.931328553,-0.249673204
-2.035715222,-0.238648163
-2.052521391,-0.258321764
-1.983670235,-0.210265823
-1.897152808,-0.166564253
-1.999634058,-0.081097147
-2.170128289,0.051490051
-2.293369164,0.107867951
-2.322462102,0.170361555
-2.27307602,0.24825204
-2.189160874,0.253393272
-2.048024447,0.289150977
-1.942157464,0.313524817
-1.960767701,0.313386038
-2.060448581,0.195494513
-2.152703829,0.095843825
-2.080681327,0.040908579
-1.936081074,0.066268617
-1.746125306,-0.04475526
-1.753386573,-0.000263627
-1.896622164,0.076251228
-2.001598117,0.223201997
-1.923504152,0.181810851
-1.792476245,0.167507912
-1.852969103,0.063363483
-2.027570421,0.035049851
-2.128669867,-0.014638897
-2.102655078,0.156132867
-2.040223195,0.120486196
-1.995190116,0.049594249
-1.999548075,-0.106616725
-2.208812663,-0.125922038
-2.316674968,0.022260582
-2.286695945,0.111887656
-2.15119945,0.214141209
-2.049261994,0.230426178
-2.091561691,0.176649853
-2.023233993,0.175661152
-2.178350391,0.068757225
-2.229642207,0.04246645
-2.19425984,0.000743191
-2.006746224,0.035281147
-1.865836967,0.04272889
-1.940477956,0.107403392
-2.022647113,0.171920505
-2.078016232,0.232232415
-2.1392363,0.188393563
-2.10488934,0.179210591
-2.084166376,0.241863427
-1.956990256,0.18672358
-1.918598224,0.15611652
-1.830753575,-0.075839289
-1.807336165,0.056702687
-1.806188543,0.049729437
-1.867877744,0.109373822
-2.014172943,0.030361389
-2.000486009,-0.159470548
-1.944830032,-0.223016554
-1.780578169,-0.332620746
-1.745801511,-0.168133596
-1.76402221,-0.278490005
-1.780716578,-0.199143416
-1.769736824,-0.234472234
-1.859503851,-0.099183265
-1.868517872,-0.222383209
-1.961484134,-0.211017605
-1.899685011,-0.298509305
-2.001669299,-0.239967112
-1.921621278,-0.329047729
-1.814780658,-0.389658785
-1.711593778,-0.352659589
-1.68425953,-0.267067969
-1.789876006,-0.238978828
-2.187781119,-0.343763266
-2.512539122,-0.398395589
-2.579871914,-0.42289209
-2.372391115,-0.405702873
-2.189547551,-0.478515482
-2.199704646,-0.368894233
-2.136037749,-0.32558516
-2.196388461,-0.108592978
-2.263848321,-0.014060134
-2.404414028,0.017741534
-2.392687008,-0.026017948
-2.35956854,-0.123362862
-2.202628219,-0.058758687
-2.07760922,0.030359135
-2.181652045,0.091128006
-2.286894858,-0.025994935
-2.465795259,-0.10276679
-2.615141865,-0.087064564
-2.599170311,-0.048810974
-2.443996475,-0.074639895
-2.452130265,0.034582356
-2.452888636,0.17894035
-2.458780693,0.238200921
-2.238458914,0.276795531
-2.125287454,0.167946343
-2.169472653,0.286312063
-2.294486224,0.274548672
-2.282793755,0.28892897
-2.155187652,0.235990869
-2.160839062,0.186247891
-2.411175643,0.211626503
-2.499924652,-0.056699286
-2.419334061,0.045609304
-2.296458875,0.100946285
-2.353623584,0.397027553
-2.371948437,0.419932679
-2.258961518,0.297295194
-2.156828018,0.218803107
-2.277439785,0.190598433
-2.566090692,0.213207355
-2.725935408,0.287105605
-2.472958165,0.185056402
-2.185798256,0.107402736
-1.989326654,0.088872737
-1.905285899,0.09879396
-2.109173931,0.178657801
-2.355212385,0.114431492
-2.531413479,0.112021128
-2.366702508,-0.150317198
-2.012081552,-0.345784694
-2.006810246,-0.287404525
-2.023303761,-0.137976862
-2.068456295,0.067827139
-2.110512559,-0.112106075
-2.200450058,-0.090795315
-2.235755058,-0.248675748
-2.277824175,-0.236263382
-2.161687836,-0.409742561
-2.016333023,-0.395754955
